date,hour,parking_lot,entries,exits,occupancy_forecast
2022-06-01,0,P023,54,0,54
2022-06-01,1,P023,2,0,56
2022-06-01,2,P023,0,0,56
2022-06-01,3,P023,0,0,56
2022-06-01,4,P023,0,0,56
2022-06-01,5,P023,0,1,55
2022-06-01,6,P023,0,1,54
2022-06-01,7,P023,0,9,45
2022-06-01,8,P023,0,11,34
2022-06-01,9,P023,0,12,22
2022-06-01,10,P023,0,5,17
2022-06-01,11,P023,0,3,14
2022-06-01,12,P023,0,2,12
2022-06-01,13,P023,2,0,14
2022-06-01,14,P023,0,4,10
2022-06-01,15,P023,3,0,13
2022-06-01,16,P023,9,0,22
2022-06-01,17,P023,10,0,32
2022-06-01,18,P023,13,0,45
2022-06-01,19,P023,8,0,53
2022-06-01,20,P023,1,0,54
2022-06-01,21,P023,0,0,54
2022-06-01,22,P023,2,0,56
2022-06-01,23,P023,0,0,56
2022-06-02,0,P023,0,0,56
2022-06-02,1,P023,1,0,57
2022-06-02,2,P023,0,0,57
2022-06-02,3,P023,0,0,57
2022-06-02,4,P023,0,0,57
2022-06-02,5,P023,0,1,56
2022-06-02,6,P023,0,0,56
2022-06-02,7,P023,0,12,44
2022-06-02,8,P023,0,11,33
2022-06-02,9,P023,0,8,25
2022-06-02,10,P023,0,10,15
2022-06-02,11,P023,1,0,16
2022-06-02,12,P023,0,4,12
2022-06-02,13,P023,2,0,14
2022-06-02,14,P023,2,0,16
2022-06-02,15,P023,6,0,22
2022-06-02,16,P023,6,0,28
2022-06-02,17,P023,5,0,33
2022-06-02,18,P023,7,0,40
2022-06-02,19,P023,8,0,48
2022-06-02,20,P023,1,0,49
2022-06-02,21,P023,4,0,53
2022-06-02,22,P023,1,0,54
2022-06-02,23,P023,0,0,54
2022-06-03,0,P023,0,0,54
2022-06-03,1,P023,0,0,54
2022-06-03,2,P023,1,0,55
2022-06-03,3,P023,0,0,55
2022-06-03,4,P023,0,0,55
2022-06-03,5,P023,0,1,54
2022-06-03,6,P023,0,1,53
2022-06-03,7,P023,0,9,44
2022-06-03,8,P023,0,15,29
2022-06-03,9,P023,0,3,26
2022-06-03,10,P023,0,2,24
2022-06-03,11,P023,0,0,24
2022-06-03,12,P023,1,0,25
2022-06-03,13,P023,0,6,19
2022-06-03,14,P023,0,3,16
2022-06-03,15,P023,3,0,19
2022-06-03,16,P023,6,0,25
2022-06-03,17,P023,4,0,29
2022-06-03,18,P023,0,1,28
2022-06-03,19,P023,8,0,36
2022-06-03,20,P023,16,0,52
2022-06-03,21,P023,3,0,55
2022-06-03,22,P023,0,1,54
2022-06-03,23,P023,2,0,56
2022-06-04,0,P023,1,0,57
2022-06-04,1,P023,0,2,55
2022-06-04,2,P023,2,0,57
2022-06-04,3,P023,0,0,57
2022-06-04,4,P023,0,0,57
2022-06-04,5,P023,0,0,57
2022-06-04,6,P023,0,3,54
2022-06-04,7,P023,0,8,46
2022-06-04,8,P023,0,3,43
2022-06-04,9,P023,1,0,44
2022-06-04,10,P023,0,13,31
2022-06-04,11,P023,0,2,29
2022-06-04,12,P023,4,0,33
2022-06-04,13,P023,5,0,38
2022-06-04,14,P023,0,2,36
2022-06-04,15,P023,3,0,39
2022-06-04,16,P023,0,1,38
2022-06-04,17,P023,4,0,42
2022-06-04,18,P023,8,0,50
2022-06-04,19,P023,3,0,53
2022-06-04,20,P023,3,0,56
2022-06-04,21,P023,0,1,55
2022-06-04,22,P023,0,0,55
2022-06-04,23,P023,0,0,55
2022-06-05,0,P023,2,0,57
2022-06-05,1,P023,0,0,57
2022-06-05,2,P023,2,0,59
2022-06-05,3,P023,0,0,59
2022-06-05,4,P023,0,0,59
2022-06-05,5,P023,0,0,59
2022-06-05,6,P023,0,0,59
2022-06-05,7,P023,0,4,55
2022-06-05,8,P023,0,5,50
2022-06-05,9,P023,0,1,49
2022-06-05,10,P023,0,5,44
2022-06-05,11,P023,6,0,50
2022-06-05,12,P023,0,0,50
2022-06-05,13,P023,0,0,50
2022-06-05,14,P023,0,5,45
2022-06-05,15,P023,1,0,46
2022-06-05,16,P023,4,0,50
2022-06-05,17,P023,4,0,54
2022-06-05,18,P023,2,0,56
2022-06-05,19,P023,2,0,58
2022-06-05,20,P023,0,0,58
2022-06-05,21,P023,0,0,58
2022-06-05,22,P023,2,0,60
2022-06-05,23,P023,3,0,63
2022-06-06,0,P023,0,0,63
2022-06-06,1,P023,0,0,63
2022-06-06,2,P023,0,0,63
2022-06-06,3,P023,0,1,62
2022-06-06,4,P023,0,0,62
2022-06-06,5,P023,0,0,62
2022-06-06,6,P023,0,0,62
2022-06-06,7,P023,0,3,59
2022-06-06,8,P023,0,25,34
2022-06-06,9,P023,0,14,20
2022-06-06,10,P023,0,6,14
2022-06-06,11,P023,0,11,3
2022-06-06,12,P023,1,0,4
2022-06-06,13,P023,8,0,12
2022-06-06,14,P023,0,5,7
2022-06-06,15,P023,2,0,9
2022-06-06,16,P023,5,0,14
2022-06-06,17,P023,10,0,24
2022-06-06,18,P023,18,0,42
2022-06-06,19,P023,8,0,50
2022-06-06,20,P023,12,0,62
2022-06-06,21,P023,0,0,62
2022-06-06,22,P023,0,0,62
2022-06-06,23,P023,1,0,63
2022-06-07,0,P023,0,0,63
2022-06-07,1,P023,0,0,63
2022-06-07,2,P023,0,1,62
2022-06-07,3,P023,0,1,61
2022-06-07,4,P023,0,0,61
2022-06-07,5,P023,0,1,60
2022-06-07,6,P023,0,0,60
2022-06-07,7,P023,0,14,46
2022-06-07,8,P023,0,12,34
2022-06-07,9,P023,0,7,27
2022-06-07,10,P023,0,11,16
2022-06-07,11,P023,5,0,21
2022-06-07,12,P023,0,0,21
2022-06-07,13,P023,6,0,27
2022-06-07,14,P023,0,3,24
2022-06-07,15,P023,1,0,25
2022-06-07,16,P023,7,0,32
2022-06-07,17,P023,10,0,42
2022-06-07,18,P023,7,0,49
2022-06-07,19,P023,3,0,52
2022-06-07,20,P023,7,0,59
2022-06-07,21,P023,1,0,60
2022-06-07,22,P023,0,1,59
2022-06-07,23,P023,0,0,59
2022-06-08,0,P023,1,0,60
2022-06-08,1,P023,1,0,61
2022-06-08,2,P023,0,0,61
2022-06-08,3,P023,1,0,62
2022-06-08,4,P023,0,0,62
2022-06-08,5,P023,0,1,61
2022-06-08,6,P023,0,1,60
2022-06-08,7,P023,0,12,48
2022-06-08,8,P023,0,3,45
2022-06-08,9,P023,0,11,34
2022-06-08,10,P023,0,5,29
2022-06-08,11,P023,0,0,29
2022-06-08,12,P023,3,0,32
2022-06-08,13,P023,0,4,28
2022-06-08,14,P023,0,5,23
2022-06-08,15,P023,2,0,25
2022-06-08,16,P023,10,0,35
2022-06-08,17,P023,7,0,42
2022-06-08,18,P023,5,0,47
2022-06-08,19,P023,8,0,55
2022-06-08,20,P023,2,0,57
2022-06-08,21,P023,2,0,59
2022-06-08,22,P023,0,0,59
2022-06-08,23,P023,1,0,60
2022-06-09,0,P023,0,0,60
2022-06-09,1,P023,0,0,60
2022-06-09,2,P023,1,0,61
2022-06-09,3,P023,0,0,61
2022-06-09,4,P023,0,0,61
2022-06-09,5,P023,0,0,61
2022-06-09,6,P023,0,0,61
2022-06-09,7,P023,0,9,52
2022-06-09,8,P023,0,15,37
2022-06-09,9,P023,0,5,32
2022-06-09,10,P023,0,6,26
2022-06-09,11,P023,2,0,28
2022-06-09,12,P023,9,0,37
2022-06-09,13,P023,0,5,32
2022-06-09,14,P023,0,1,31
