date,missing_rows
2022-01-01,24
2022-01-02,24
2022-01-03,24
2022-01-04,24
2022-01-05,24
2022-01-06,24
2022-01-07,24
2022-01-08,24
2022-01-09,24
2022-01-10,24
2022-01-11,24
2022-01-12,24
2022-01-13,24
2022-01-14,24
2022-01-15,24
2022-01-16,24
2022-01-17,24
2022-01-18,24
2022-01-19,24
2022-01-20,24
2022-01-21,24
2022-01-22,24
2022-01-23,24
2022-01-24,24
2022-01-25,23
2022-01-26,24
2022-01-27,24
2022-01-28,24
2022-01-29,24
2022-01-30,24
2022-01-31,24
2022-02-01,24
2022-02-02,23
2022-02-03,24
2022-02-04,24
2022-02-05,24
2022-02-06,24
2022-02-07,24
2022-02-08,24
2022-02-09,24
2022-02-10,24
2022-02-11,24
2022-02-12,23
2022-02-13,3
2022-02-14,0
2022-02-15,0
2022-02-16,0
2022-02-17,2
2022-02-18,24
2022-02-19,24
2022-02-20,24
2022-02-21,24
2022-02-22,24
2022-02-23,24
2022-02-24,24
2022-02-25,24
2022-02-26,24
2022-02-27,24
2022-02-28,24
2022-03-01,24
2022-03-02,24
2022-03-03,24
2022-03-04,24
2022-03-05,24
2022-03-06,24
2022-03-07,24
2022-03-08,24
2022-03-09,24
2022-03-10,24
2022-03-11,24
2022-03-12,24
2022-03-13,24
2022-03-14,24
2022-03-15,24
2022-03-16,24
2022-03-17,24
2022-03-18,24
2022-03-19,24
2022-03-20,24
2022-03-21,24
2022-03-22,24
2022-03-23,24
2022-03-24,24
2022-03-25,24
2022-03-26,24
2022-03-27,24
2022-03-28,24
2022-03-29,24
2022-03-30,24
2022-03-31,24
2022-04-01,24
2022-04-02,6
2022-04-03,14
2022-04-04,23
2022-04-05,24
2022-04-06,24
2022-04-07,24
2022-04-08,24
2022-04-09,24
2022-04-10,24
2022-04-11,24
2022-04-12,24
2022-04-13,24
2022-04-14,24
2022-04-15,24
2022-04-16,24
2022-04-17,24
2022-04-18,24
2022-04-19,24
2022-04-20,24
2022-04-21,24
2022-04-22,24
2022-04-23,24
2022-04-24,24
2022-04-25,24
2022-04-26,24
2022-04-27,24
2022-04-28,24
2022-04-29,24
2022-04-30,24
2022-05-01,24
2022-05-02,24
2022-05-03,24
2022-05-04,24
2022-05-05,24
2022-05-06,24
2022-05-07,24
2022-05-08,24
2022-05-09,24
2022-05-10,24
2022-05-11,24
2022-05-12,24
2022-05-13,24
2022-05-14,24
2022-05-15,24
2022-05-16,24
2022-05-17,24
2022-05-18,24
2022-05-19,24
2022-05-20,24
2022-05-21,24
2022-05-22,24
2022-05-23,24
2022-05-24,24
2022-05-25,24
2022-05-26,24
2022-05-27,24
2022-05-28,24
2022-05-29,24
2022-05-30,24
2022-05-31,24
2022-06-01,24
2022-06-02,24
2022-06-03,24
2022-06-04,24
2022-06-05,24
2022-06-06,24
2022-06-07,24
2022-06-08,24
2022-06-09,24
2022-06-10,24
2022-06-11,24
2022-06-12,24
2022-06-13,24
2022-06-14,24
2022-06-15,24
2022-06-16,24
2022-06-17,24
2022-06-18,24
2022-06-19,24
2022-06-20,24
2022-06-21,24
2022-06-22,24
2022-06-23,24
2022-06-24,24
2022-06-25,24
2022-06-26,24
2022-06-27,24
2022-06-28,24
2022-06-29,24
2022-06-30,23
