dia,temp_min,temp_max
2022-01-01,9.4,26.3
2022-01-02,11.2,20.3
2022-01-03,9.6,17.2
2022-01-04,9.8,18.3
2022-01-05,8.9,18.2
2022-01-06,8.4,18.7
2022-01-07,8.6,20.6
2022-01-08,4.5,19.1
2022-01-09,5.5,17.8
2022-01-10,9.4,17.7
2022-01-11,7.9,41.9
2022-01-12,9.1,2816.7
2022-01-13,5.6,3280.5
2022-01-14,4.6,1892.5
2022-01-15,6.2,3162.6
2022-01-16,6.4,2935.3
2022-01-17,5.5,3281.1
2022-01-18,5.0,2761.9
2022-01-19,3.3,3288.0
2022-01-20,2.5,2086.2
2022-01-21,5.7,1508.4
2022-01-22,4.4,3285.6
2022-01-23,5.8,3281.0
2022-01-24,6.0,3041.4
2022-01-25,7.1,2943.5
2022-01-26,6.2,2674.6
2022-01-27,0.5,3281.9
2022-01-28,8.3,2312.6
2022-01-29,7.7,2941.9
2022-01-30,8.4,2656.8
2022-01-31,4.6,2324.2
2022-02-01,5.5,2816.3
2022-02-02,6.1,1840.7
2022-02-03,7.3,3047.5
2022-02-04,3.5,3038.3
2022-02-05,4.3,3282.3
2022-02-06,6.7,3046.8
2022-02-07,6.1,1947.9
2022-02-08,6.7,3010.0
2022-02-09,6.4,2794.4
2022-02-10,7.4,2737.0
2022-02-11,9.9,2714.0
2022-02-12,10.2,3285.5
2022-02-13,7.2,2857.3
2022-02-14,6.6,3280.9
2022-02-15,5.1,3048.6
2022-02-16,0.0,2139.4
2022-02-17,0.0,2858.3
2022-02-18,0.0,3281.2
2022-02-19,0.0,2906.1
2022-02-20,0.0,1650.8
2022-02-21,0.0,2467.0
2022-02-22,0.0,2161.4
2022-02-23,0.0,2902.7
2022-02-24,0.0,2159.6
2022-02-25,0.0,2995.9
2022-02-26,0.0,2865.5
2022-02-27,0.0,2681.5
2022-02-28,0.0,2426.0
2022-03-01,0.0,2569.4
2022-03-02,0.0,2162.9
2022-03-03,0.0,2765.7
2022-03-04,8.0,17.1
2022-03-11,9.8,15.2
2022-03-12,9.9,14.6
2022-03-14,10.0,15.2
2022-03-15,10.0,18.5
2022-03-16,13.0,16.6
2022-03-17,12.9,16.8
2022-03-18,0.0,20.2
2022-03-19,0.0,2951.2
2022-03-20,0.0,2501.9
2022-03-21,0.0,3285.9
2022-03-22,0.0,2579.2
2022-03-23,0.0,2248.4
2022-03-24,0.0,2971.0
2022-03-25,0.0,2643.0
2022-03-26,0.0,2970.3
2022-03-27,0.0,2422.7
2022-03-28,0.0,2253.7
2022-03-29,0.0,3118.9
2022-03-30,0.0,2115.7
2022-03-31,0.0,3276.8
2022-04-01,0.0,2630.2
2022-04-02,0.0,3282.6
2022-04-03,0.0,2252.6
2022-04-04,0.0,3279.7
2022-04-05,0.0,3280.1
2022-04-06,0.0,3189.4
2022-04-07,0.0,2874.4
2022-04-08,0.0,3286.7
2022-04-09,0.0,3284.3
2022-04-10,0.0,1708.3
2022-04-11,0.0,2388.7
2022-04-12,0.0,2413.5
2022-04-13,0.0,2350.9
2022-04-14,0.0,3283.6
2022-04-15,0.0,1520.9
2022-04-16,0.0,3287.1
2022-04-17,0.0,2326.7
2022-04-18,0.0,2689.3
2022-04-19,0.0,3051.0
2022-04-20,0.0,3280.8
2022-04-21,0.0,3286.1
2022-04-22,0.0,2627.7
2022-04-23,0.0,2391.0
2022-04-24,0.0,3284.4
2022-04-25,0.0,3284.1
2022-04-26,0.0,3288.8
2022-04-27,0.0,3285.0
2022-04-28,0.0,3133.8
2022-04-29,0.0,3213.0
2022-04-30,0.0,951.1
2022-05-01,0.0,3288.5
2022-05-02,0.0,3284.3
2022-05-03,0.0,3285.6
2022-05-04,0.0,3288.0
2022-05-05,0.0,1244.9
2022-05-06,0.0,3285.0
2022-05-07,0.0,1521.6
2022-05-08,0.0,1017.3
2022-05-09,0.0,2083.7
2022-05-10,0.0,3134.4
2022-05-11,0.0,3286.8
2022-05-12,0.0,364.8
2022-05-13,0.0,1080.9
2022-05-14,0.0,2138.6
2022-05-15,0.0,3286.7
2022-05-16,0.0,2714.6
2022-05-17,0.0,3114.9
2022-05-18,0.0,2907.5
2022-05-19,0.0,2863.9
2022-05-20,0.0,2321.1
2022-05-21,0.0,2604.4
2022-05-22,0.0,2742.7
2022-05-23,0.0,3287.1
2022-05-24,0.0,3284.7
2022-05-25,0.0,2595.8
2022-05-26,0.0,1455.4
2022-05-27,0.0,3306.3
2022-05-28,0.0,428.2
2022-05-29,0.0,1886.7
2022-05-30,0.0,1514.8
2022-05-31,0.0,928.0
2022-06-01,0.0,3287.6
2022-06-02,0.0,1006.6
2022-06-03,0.0,3289.3
2022-06-04,0.0,1489.1
2022-06-05,0.0,3286.8
2022-06-06,0.0,1651.4
2022-06-07,0.0,1578.6
2022-06-08,0.0,270.5
2022-06-09,0.0,605.5
2022-06-10,0.0,34.6
2022-06-11,0.0,417.8
2022-06-12,0.0,437.8
2022-06-13,0.0,51.4
2022-06-14,0.0,1652.8
2022-06-15,0.0,111.7
2022-06-16,0.0,391.4
2022-06-17,0.0,28.8
2022-06-18,0.0,28.3
2022-06-19,0.0,26.9
2022-06-20,0.0,771.8
2022-06-21,0.0,187.3
2022-06-22,0.0,549.8
2022-06-23,0.0,175.3
2022-06-24,0.0,1079.0
2022-06-25,0.0,1005.8
2022-06-26,0.0,2248.9
2022-06-27,0.0,634.4
2022-06-28,0.0,973.7
2022-06-29,0.0,282.7
2022-06-30,0.0,1603.7
