hour,parking_lot,capacity,dia_x,date,weekday,entries,exits,occupancy,traffic_score,total_flow,hourly_flow_rate,temp_min_c,temp_max_c
0,P023,180.0,1.0,2022-01-01,5.0,38.0,27.0,38.0,2.0,65.0,65.0,12.8,20.6
1,P023,180.0,1.0,2022-01-01,5.0,58.0,9.0,40.0,2.0,67.0,67.0,12.8,20.6
2,P023,180.0,1.0,2022-01-01,5.0,86.0,10.0,43.0,2.0,96.0,96.0,12.8,20.6
3,P023,180.0,1.0,2022-01-01,5.0,19.0,2.0,44.0,1.0,21.0,21.0,12.8,20.6
4,P023,180.0,1.0,2022-01-01,5.0,33.0,4.0,44.0,1.0,37.0,37.0,12.8,20.6
5,P023,180.0,1.0,2022-01-01,5.0,4.0,0.0,44.0,1.0,4.0,4.0,12.8,20.6
6,P023,180.0,1.0,2022-01-01,5.0,8.0,1.0,44.0,1.0,9.0,9.0,12.8,20.6
7,P023,180.0,1.0,2022-01-01,5.0,9.0,1.0,44.0,1.0,10.0,10.0,12.8,20.6
8,P023,180.0,1.0,2022-01-01,5.0,0.0,4.0,43.0,1.0,4.0,4.0,12.8,20.6
9,P023,180.0,1.0,2022-01-01,5.0,6.0,3.0,43.0,1.0,9.0,9.0,12.8,20.6
10,P023,180.0,1.0,2022-01-01,5.0,1.0,4.0,42.0,2.0,5.0,5.0,12.8,20.6
11,P023,180.0,1.0,2022-01-01,5.0,0.0,17.0,40.0,1.0,17.0,17.0,12.8,20.6
12,P023,180.0,1.0,2022-01-01,5.0,2.0,26.0,39.0,3.0,28.0,28.0,12.8,20.6
13,P023,180.0,1.0,2022-01-01,5.0,0.0,4.0,37.0,2.0,4.0,4.0,12.8,20.6
14,P023,180.0,1.0,2022-01-01,5.0,0.0,12.0,37.0,3.0,12.0,12.0,12.8,20.6
15,P023,180.0,1.0,2022-01-01,5.0,1.0,11.0,38.0,4.0,12.0,12.0,12.8,20.6
16,P023,180.0,1.0,2022-01-01,5.0,0.0,12.0,38.0,4.0,12.0,12.0,12.8,20.6
17,P023,180.0,1.0,2022-01-01,5.0,3.0,14.0,38.0,4.0,17.0,17.0,12.8,20.6
18,P023,180.0,1.0,2022-01-01,5.0,0.0,0.0,38.0,4.0,0.0,0.0,12.8,20.6
19,P023,180.0,1.0,2022-01-01,5.0,2.0,0.0,39.0,2.0,2.0,2.0,12.8,20.6
20,P023,180.0,1.0,2022-01-01,5.0,8.0,4.0,39.0,3.0,12.0,12.0,12.8,20.6
21,P023,180.0,1.0,2022-01-01,5.0,3.0,2.0,39.0,2.0,5.0,5.0,12.8,20.6
22,P023,180.0,1.0,2022-01-01,5.0,4.0,3.0,40.0,2.0,7.0,7.0,12.8,20.6
23,P023,180.0,1.0,2022-01-01,5.0,6.0,1.0,41.0,2.0,7.0,7.0,12.8,20.6
0,P023,180.0,2.0,2022-01-02,6.0,13.0,0.0,43.0,1.0,13.0,13.0,14.1,16.3
1,P023,180.0,2.0,2022-01-02,6.0,3.0,0.0,43.0,1.0,3.0,3.0,14.1,16.3
2,P023,180.0,2.0,2022-01-02,6.0,17.0,2.0,43.0,5.2,19.0,19.0,14.1,16.3
3,P023,180.0,2.0,2022-01-02,6.0,12.0,2.0,43.0,5.2,14.0,14.0,14.1,16.3
4,P023,180.0,2.0,2022-01-02,6.0,8.0,1.0,43.0,1.0,9.0,9.0,14.1,16.3
5,P023,180.0,2.0,2022-01-02,6.0,37.0,3.0,43.0,1.0,40.0,40.0,14.1,16.3
