parque,capacidade,nivel_trafego,dia,data,hora,dia_semana,entradas,saidas,ocupacao,fluxo_total,taxa_fluxo_hora
P002,400,Médio,1,2020-01-01,0,2,296,22,275,318,318.0
P002,400,Médio,1,2020-01-01,1,2,1,2,275,3,3.0
P002,400,Médio,1,2020-01-01,2,2,2,4,275,6,6.0
P002,400,Médio,1,2020-01-01,3,2,1,2,275,3,3.0
P002,400,Médio,1,2020-01-01,4,2,1,2,275,3,3.0
P002,400,Médio,1,2020-01-01,6,2,3,6,275,9,9.0
P002,400,Médio,1,2020-01-01,7,2,3,6,275,9,9.0
P002,400,Médio,1,2020-01-01,8,2,3,6,275,9,9.0
P002,400,Médio,1,2020-01-01,9,2,2,4,275,6,6.0
P002,400,Médio,1,2020-01-01,10,2,2,4,275,6,6.0
P002,400,Médio,1,2020-01-01,11,2,2,4,275,6,6.0
P002,400,Médio,1,2020-01-01,12,2,3,6,275,9,9.0
P002,400,Médio,1,2020-01-01,13,2,2,4,275,6,6.0
P002,400,Médio,1,2020-01-01,14,2,1,2,275,3,3.0
P002,400,Médio,1,2020-01-01,15,2,4,8,275,12,12.0
P002,400,Médio,1,2020-01-01,16,2,4,8,275,12,12.0
P002,400,Médio,1,2020-01-01,17,2,3,6,275,9,9.0
P002,400,Médio,1,2020-01-01,18,2,3,6,275,9,9.0
P002,400,Médio,1,2020-01-01,19,2,2,4,275,6,6.0
P002,400,Médio,1,2020-01-01,20,2,4,8,275,12,12.0
P002,400,Médio,1,2020-01-01,21,2,4,8,275,12,12.0
P002,400,Médio,1,2020-01-01,22,2,2,4,275,6,6.0
P002,400,Médio,1,2020-01-01,23,2,3,6,275,9,9.0
P002,400,Médio,2,2020-01-02,0,3,1,2,275,3,3.0
P002,400,Médio,2,2020-01-02,1,3,3,6,275,9,9.0
P002,400,Médio,2,2020-01-02,2,3,3,6,275,9,9.0
P002,400,Médio,2,2020-01-02,3,3,1,2,275,3,3.0
P002,400,Médio,2,2020-01-02,4,3,2,4,275,6,6.0
P002,400,Médio,2,2020-01-02,5,3,1,2,275,3,3.0
P002,400,Médio,2,2020-01-02,6,3,3,6,275,9,9.0
P002,400,Médio,2,2020-01-02,7,3,2,4,275,6,6.0
P002,400,Médio,2,2020-01-02,8,3,1,2,275,3,3.0
P002,400,Médio,2,2020-01-02,9,3,1,2,275,3,3.0
P002,400,Médio,2,2020-01-02,10,3,2,4,275,6,6.0
P002,400,Médio,2,2020-01-02,11,3,3,6,275,9,9.0
P002,400,Médio,2,2020-01-02,12,3,1,2,275,3,3.0
P002,400,Médio,2,2020-01-02,13,3,1,2,275,3,3.0
P002,400,Médio,2,2020-01-02,14,3,2,4,275,6,6.0
P002,400,Médio,2,2020-01-02,15,3,4,8,275,12,12.0
P002,400,Médio,2,2020-01-02,16,3,4,8,275,12,12.0
P002,400,Médio,2,2020-01-02,18,3,2,4,275,6,6.0
P002,400,Médio,2,2020-01-02,19,3,3,6,275,9,9.0
P002,400,Médio,2,2020-01-02,20,3,1,2,275,3,3.0
P002,400,Médio,2,2020-01-02,21,3,2,4,275,6,6.0
P002,400,Médio,2,2020-01-02,22,3,4,8,275,12,12.0
P002,400,Médio,2,2020-01-02,23,3,2,4,275,6,6.0
P002,400,Médio,3,2020-01-03,0,4,3,6,275,9,9.0
P002,400,Médio,3,2020-01-03,1,4,2,4,275,6,6.0
P002,400,Médio,3,2020-01-03,2,4,3,6,275,9,9.0
P002,400,Médio,3,2020-01-03,4,4,3,6,275,9,9.0
P002,400,Médio,3,2020-01-03,5,4,2,4,275,6,6.0
P002,400,Médio,3,2020-01-03,7,4,2,4,275,6,6.0
P002,400,Médio,3,2020-01-03,8,4,1,2,275,3,3.0
P002,400,Médio,3,2020-01-03,9,4,3,6,275,9,9.0
P002,400,Médio,3,2020-01-03,11,4,1,2,275,3,3.0
P002,400,Médio,3,2020-01-03,12,4,2,4,275,6,6.0
P002,400,Médio,3,2020-01-03,13,4,2,4,275,6,6.0
P002,400,Médio,3,2020-01-03,14,4,2,4,275,6,6.0
P002,400,Médio,3,2020-01-03,15,4,1,2,275,3,3.0
P002,400,Médio,3,2020-01-03,16,4,2,4,275,6,6.0
P002,400,Médio,3,2020-01-03,17,4,3,6,275,9,9.0
P002,400,Médio,3,2020-01-03,18,4,2,4,275,6,6.0
P002,400,Médio,3,2020-01-03,19,4,3,6,275,9,9.0
P002,400,Médio,3,2020-01-03,20,4,1,2,275,3,3.0
P002,400,Médio,3,2020-01-03,21,4,4,8,275,12,12.0
P002,400,Médio,3,2020-01-03,22,4,3,6,275,9,9.0
P002,400,Médio,3,2020-01-03,23,4,3,6,275,9,9.0
P002,400,Médio,4,2020-01-04,0,5,3,6,275,9,9.0
P002,400,Médio,4,2020-01-04,1,5,2,4,275,6,6.0
P002,400,Médio,4,2020-01-04,2,5,1,2,275,3,3.0
P002,400,Médio,4,2020-01-04,3,5,2,4,275,6,6.0
P002,400,Médio,4,2020-01-04,4,5,2,4,275,6,6.0
