local,day,latitude,longitude,score
Avenida da Républica,2021-07-15,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-16,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-17,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-18,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-19,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-20,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-21,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-22,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-23,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-24,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-25,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-26,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-27,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-28,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-29,38.73593143,-9.145660419,0
Avenida da Républica,2021-07-30,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-01,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-02,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-03,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-04,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-05,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-06,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-07,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-08,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-09,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-10,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-11,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-12,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-13,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-14,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-15,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-16,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-17,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-18,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-19,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-20,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-21,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-22,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-23,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-24,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-25,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-26,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-27,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-28,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-29,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-30,38.73593143,-9.145660419,0
Avenida da Républica,2021-08-31,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-01,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-02,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-03,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-04,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-05,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-06,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-07,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-08,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-09,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-10,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-11,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-12,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-13,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-14,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-15,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-16,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-17,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-18,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-19,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-20,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-21,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-22,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-23,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-24,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-25,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-26,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-27,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-28,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-29,38.73593143,-9.145660419,0
Avenida da Républica,2021-09-30,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-01,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-02,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-03,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-04,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-07,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-08,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-13,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-14,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-15,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-16,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-17,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-18,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-19,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-20,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-21,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-22,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-23,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-24,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-25,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-26,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-27,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-28,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-29,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-30,38.73593143,-9.145660419,0
Avenida da Républica,2021-10-31,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-01,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-02,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-03,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-04,38.73593143,-9.145660419,0
Avenida da Républica,2021-11-05,38.73593143,-9.145660419,0
